,id,ac,km
332,TCGA-B8-A54F-01A-11R-A266-07,4,3
333,TCGA-BP-5187-01A-01R-1426-07,1,4
334,TCGA-B0-5713-01A-11R-1672-07,1,2
335,TCGA-CJ-5676-01A-11R-1541-07,4,4
336,TCGA-DV-5565-01A-01R-1541-07,4,2
337,TCGA-CJ-5681-01A-11R-1541-07,1,2
338,TCGA-B0-5109-01A-02R-1420-07,0,1
339,TCGA-B8-A8YJ-01A-13R-A39I-07,4,2
340,TCGA-B0-4707-01A-01R-1277-07,0,1
341,TCGA-BP-4770-01A-01R-1503-07,3,0
342,TCGA-BP-4332-01A-01R-1289-07,2,3
343,TCGA-B0-4698-01A-01R-1503-07,0,1
344,TCGA-BP-4982-01A-01R-1334-07,4,2
345,TCGA-CW-5587-01A-01R-1541-07,0,1
346,TCGA-BP-5201-01A-01R-1426-07,0,1
347,TCGA-CW-5590-01A-01R-1541-07,1,2
348,TCGA-A3-3370-01A-02R-1420-07,0,1
349,TCGA-BP-4166-01A-02R-1289-07,4,2
350,TCGA-B0-4810-01A-01R-1503-07,0,1
351,TCGA-B0-4718-01A-01R-1277-07,0,4
352,TCGA-B4-5834-01A-11R-1672-07,1,2
353,TCGA-BP-4169-01A-02R-1289-07,1,2
354,TCGA-BP-4777-01A-01R-1289-07,0,1
355,TCGA-B0-4848-01A-01R-1277-07,0,4
356,TCGA-BP-4354-01A-02R-1289-07,4,2
357,TCGA-CJ-4642-01B-01R-1305-07,2,3
358,TCGA-BP-5178-01A-01R-1426-07,4,3
359,TCGA-BP-4790-01A-01R-1305-07,1,2
360,TCGA-B0-5399-01A-01R-1503-07,1,2
361,TCGA-CJ-4641-01A-02R-1325-07,0,4
362,TCGA-BP-5195-01A-02R-1426-07,4,2
363,TCGA-MM-A84U-01A-11R-A37O-07,4,2
364,TCGA-CJ-4637-01A-02R-1325-07,0,1
365,TCGA-CJ-4636-01A-02R-1325-07,0,4
366,TCGA-AK-3455-01A-01R-0864-07,0,1
367,TCGA-A3-A6NN-01A-12R-A33J-07,4,2
368,TCGA-AK-3426-01A-02R-1325-07,0,1
369,TCGA-B0-4849-01A-01R-1277-07,1,2
